WORD,LANGUAGE_ID,SENTIMENT
"بِشَكْل مُخادِع","ar","-1"
"بِشَكْل مُخيف","ar","-2"
"بِشَكْل مُدْهِش","ar","2"
"بِشَكْل مُذْهِل","ar","2"
"بِشَكْل مُرْعِب","ar","-3"
"بِشَكْل مُرضي","ar","2"
"بِشَكْل مُزْعِج","ar","-2"
"بِشَكْل مُسْتَحيل","ar","-2"
"بِشَكْل مُسي لِلسُّمْعة","ar","-2"
"بِشَكْل مُشَوِّق","ar","2"
"بِشَكْل مُعاصِر","ar","1"
"بِشَكْل مُفيد","ar","2"
"بِشَكْل مُقْلِق","ar","-1"
"بِشَكْل مُلَطِّف","ar","1"
"بِشَكْل مُمِلّ","ar","-1"
"بِشَكْل مُمْتِع","ar","2"
"بِشَكْل مُنْحَرِف","ar","-2"
"بِشَكْل مُناسِب","ar","2"
"بِشَكْل مِثالي","ar","2"
"بِشَكْل مِش صَحيح","ar","-2"
"بِشَكْل مِش طَبيعيّ","ar","-1"
"بِشَكْل مِش عادي","ar","2"
"بِشَكْل مِش قابِل للتَّطْبيق","ar","-2"
"بِشَكْل مِش كُفْء","ar","-2"
"بِشَكْل مِش مَقْبول","ar","-2"
"بِشَكْل مِش مُتَناسِب","ar","-1"
"بِشَكْل مِش مُكَلِّف","ar","1"
"بِشَكْل مِش مُناسِب","ar","-2"
"بِشَكْل مِش مُهِمّ","ar","-1"
"بِشَكْل مِهَني","ar","1"
"بِشَكْل مايِنْفَعْش","ar","-2"
"بِشَكْل مؤدَّب","ar","2"
"بِشَكْل ناقِص","ar","-1"
"بِشَكْل هِستيري","ar","-2"
"بِشَكْل هامِشي","ar","-1"
"بِشَكْل وَحْشي","ar","-3"
"بِشَكْل وِحِش","ar","-2"
"بِشَكْل واسِع الخَيال","ar","1"
"بِشَكْل واسع","ar","1"
"بِشَكْل يَدْعو إلى الشَّك","ar","-2"
"بِشَكْل يَصْعَب عَليك","ar","-2"
"بِشَكْل يَنُمّ عَن الذَّوْق الجَيِّد","ar","2"
"بِشَكْل يَنُمّ عَن الشَّر","ar","-2"
"بِشَكْل يَنُمّ عَن انْعِدام الذَّوْق","ar","-2"
"بِشَكْل يَنُمّ عَن حُسْن السُّمْعة","ar","2"
"بِشَكْل يَنُمّ عَن سوء الطَّبْع","ar","-2"
"بِشَكْل يُمْكِن الاعْتِماد عَلَيْه","ar","2"
"بِشَكْل يِبَيِّن الذَّوْق الكُوَيِّس","ar","2"
"بِشَكْل يِبَيِّن سوء الطَّبْع","ar","-2"
"بِشَكْل يِبَيِّن عَن انْعِدام الذَّوْق","ar","-2"
"بِشَكْل يِجَنِّن","ar","2"
"بِشَكْل يِصْدِم","ar","-2"
"بِشَكْل يِظْهِر سُمْعة كُوَيِّسة","ar","2"
"بِشَكْل يِفْرِح","ar","3"
"بِشَكْل يِقْرِف","ar","-2"
"بِشَكْل يِقْلِق","ar","-2"
"بِشَكْل يْخَلّي الواحِد يْشُكّ","ar","-2"
"بِشَكْل يْضايِق","ar","-2"
"بِشَكْل يْنَرْفِز","ar","-2"
"بِشَكْل يتْصَدَّق","ar","1"
"بِشَكلٍ غَيْر مِهَني","ar","-2"
"بِشَكلٍ مُفيد","ar","2"
"بِشَكل مِش كِفاية","ar","-2"
"بِصَوْتٍ عالٍ","ar","-1"
"بِصوْت عالي","ar","-1"
"بِصورة مُرَوِّعة","ar","-2"
"بِطَريقة اسْتِغْلالية","ar","-2"
"بِطَريقة بَشِعة","ar","-3"
"بِطَريقة تْجَنِّن","ar","2"
"بِطَريقة تْخَوِّف","ar","-1"
"بِطَريقة تْعَصَّب","ar","-2"
"بِطَريقة جِلْفة","ar","-2"
"بِطَريقة رائعة","ar","3"
"بِطَريقة صادْمة","ar","-3"
"بِطَريقة ظَريفة","ar","2"
"بِطَريقة عُدْوانية","ar","-1"
"بِطَريقة غامِضة","ar","-2"
"بِطَريقة فاشِلة","ar","-1"
"بِطَريقة فيها اتِّهام","ar","-2"
"بِطَريقة كَريهة","ar","-3"
"بِطَريقة لَطيفة","ar","2"
"بِطَريقة مَقْبولة","ar","1"
"بِطَريقة مُبْهِرة","ar","2"
"بِطَريقة مُزْعِجة","ar","-2"
"بِطَريقة مُعاكْسة","ar","-2"
"بِطَريقة مِش احْتِرافية","ar","-1"
"بِطَريقة ماتِتطاقش","ar","-3"
"بِطَريقة مؤلِمة","ar","-2"
"بِطَريقة وِحْشة","ar","-2"
"بِعَدَم احْتِرام","ar","-2"
"بِغَضَبِ شِديد","ar","-2"
"بِفَرْحة شْديدة","ar","2"
"بِفارِغ الصَّبْر","ar","1"
"بِقِلِّة أدّب","ar","-2"
"بِقِلّة أدَب","ar","-1"
"بِقِلّة صَبْر","ar","-1"
"بِلا اسْتِحْقاق","ar","-2"
"بِلا حُدود","ar","1"
"بِلا رَحْمة","ar","-3"
"بِلا مَنْهَجِيّة","ar","-1"
"بِلا نَجاح","ar","-2"
"بِيُقْطُم الكَلام","ar","-2"
"بِيِتْصَرَّف مِنْ طَرْف مَناخيره","ar","-2"
"بِيِتْنَرْفِز بِسُرْعة","ar","-2"
"بِيِحْتِرِم غيره","ar","2"
"بِيِعْرَف يِتْكَلِّم","ar","1"
"بِيِنْتِج كِتير","ar","2"
"بِيِنْتِقِد كِتير","ar","-2"
"باحْتِرام","ar","2"
"باعِث على الاسْتِرْخاء","ar","2"
"بالطَريقة الصَّح","ar","1"
"بشَكْلٍ غَيْر مَرْغوب فيه","ar","-1"
"بطَريقة سَخيفة","ar","-1"
"بيْبوظ كِتير","ar","-1"
"بيْجادِل كِتير","ar","-1"
"بيْفَطَّر كِتير","ar","1"
"بيْهَنِّج كِتير","ar","-2"
"تَرْجيع تَمَن حاجة مِتْباعة","ar","-1"
"تَصَرُّف جارِح","ar","-2"
"تَضْييع وَقت","ar","-2"
"تَظَاهُر بالوَرَع","ar","-2"
"تَظَهُر بالوَرَع","ar","-2"
"تَفوح مِنه رائحة سَيِّئة","ar","-2"
"تَكْسير مَقاديف","ar","-2"
"تَكسير مَقاديف","ar","-2"
"تَنْبَعِث مِنه رائحة سَيِّئة","ar","-2"
"تَنْقَصَه الحَيَوِيَّة","ar","-2"
"تَوَقَّف العَمَل بِه","ar","-1"
"تِخَليّك مُسْتَرْخي","ar","2"
"تِخيت وقُصَيَّر","ar","-2"
"ثَوْرة غَضَب","ar","-1"
"جَدارة بالتِّقة","ar","2"
"جَدارة بالثِّقة","ar","2"
"جَدير بالتِّقة","ar","2"
"جَدير بالثِّقة","ar","2"
"جَدير بالثقة","ar","2"
"جَدير بالشَّفَقة","ar","-2"
"جَوْدة عالْية","ar","2"
"جُرْعة زايدة","ar","-2"
"جُرْعة زائدة","ar","-2"
"جّدير بالتَّزْكِية","ar","2"
"جاذِب للانْتِباه","ar","2"
"حَسَن السُّمْعة","ar","2"
"حَسَن النِّية","ar","2"
"حاجة تِصْدِم","ar","-2"
"حاجة تْعَصَّب","ar","-2"
"حاجة تْنَرْفِز","ar","-2"
"حالٌ شَديد السّوء","ar","-3"
"خَد بالَك","ar","-2"
"خَيْبة أمَل","ar","-2"
"خَياله واسِع","ar","1"
"خالٍ مِن المَشاكِل","ar","2"
"خالي البال","ar","2"
"خالي مِن المَشاكِل","ar","2"
"خالي من الأخْطاء","ar","2"
"خالي من البُقَع","ar","-2"
"خالي من الضَّغْط","ar","2"
"خالي من الفَيْروسات","ar","2"
"خالي من المَشاكِل","ar","2"
"خايب الأمَل","ar","-2"
"خيْبة أمَل","ar","-1"
"دَرَجة أولى","ar","2"
"دون المُسْتَوى","ar","-1"
"ذو رائحة نَفّاذة","ar","-2"
"ذو سُلْطة","ar","1"
"ذو طَعْم حِمْضي","ar","-1"
"ذو مَعْنى","ar","2"
"ذو مِصْداقِيّة","ar","1"
"رائحة سَيِّئة","ar","-2"
"رائحة سّيِّئة","ar","-2"
"رائد أعْمال","ar","1"
"رائع جِدّاً","ar","3"
"ريحْته دُخَّان","ar","-1"
"ريحة وِحْشة","ar","-2"
"ريحته جامْدة","ar","-2"
"ريحته وِحشة","ar","-2"
"زَحْمة مُرور","ar","-2"
"زَغْرة","ar","-1"
"سَريع البَديهة","ar","1"
"سَريع الغَضَب","ar","-2"
"سَعادة شَديدة","ar","3"
"سَعيد الحَظّ","ar","2"
"سَعيد جِدّاً","ar","3"
"سَهْل الاسْتِخْدام","ar","2"
"سَهْل الإقْناع","ar","1"
"سَهْل التَّحّكُّم فيه","ar","1"
"سَهْل الوُصول لُه","ar","1"
"سَهْل تَذَكُّره","ar","2"
"سَهْل تِفْتِكْرُه","ar","2"
"سَيِّئ الحَظّ","ar","-2"
"سَيِّئ الطَّبْع","ar","-2"
"سَيِّئ الطَّعم","ar","-1"
"سَيِّئ النِّيّة","ar","-2"
"سَيّي المَزاج","ar","2"
"سُبْحانه وتَعالى","ar","3"
"سُمْعِتُه كُوَيِّسة","ar","2"
"سُهْل التَّحَكُّم بِه","ar","1"
"سُهْل التَّحَكُّم فيه","ar","1"
"سِتّ شاذّة","ar","-3"
"سِتّ شاذة","ar","-3"
"سِعْرُه مُناسِب","ar","1"
"سّيِّئ الرّائحة","ar","-2"
"سابِق لأوانه","ar","-1"
"سابِقاً لأوانه","ar","-1"
"سوء إدارة","ar","-1"
"سوء حَظّ","ar","-2"
"سيِّئ المَزاج","ar","-1"
"سيّي السُّمْعة","ar","-2"
"شَبيه بالدّودة","ar","-2"
"شَخْصٌ كَريه","ar","-2"
"شَديد الأهَمِّيَّة","ar","2"
"شَديد التَّدْقيق","ar","2"
"شَديد الرَّوْعة","ar","3"
"شَديد السّوء","ar","-2"
"شَديد السوء","ar","-3"
"شَديد العاطِفِيَّة","ar","-2"
"شَديد الغَضَب","ar","-2"
"شَديد النَّظافة","ar","2"
"شَديد الوَفْرة","ar","3"
"شَكْلُه مُرْهَق","ar","-2"
"شَكْوى شَديدة","ar","-2"
"شَكْوى شِديدة","ar","-2"
"شُغْل صَعْب","ar","-1"
"شُغْلانة مُمِلّة","ar","-1"
"صَعْب حَمْله","ar","-1"
"صَوْتٍ عالٍ","ar","-1"
"صُعوبة شَديدة","ar","-2"
"صُعوبة فَظيعة","ar","-2"
"صافي التَّفْكير","ar","1"
"صالِح للْعَيش","ar","1"
"صوْت عالي","ar","-1"
"صورة نَمَطِيّة","ar","-1"
"ضَرْبة جامْدة","ar","-1"
"ضَرْبة شَديدة","ar","-1"
"طَبْعُه سَيِّئ","ar","-2"
"طَلَب مِتْأجِّل","ar","-1"
"طَلُب مَعْلومات شَخْصِيَّة على الإنْتَرْنِت بِغَرَض النَّصْب","ar","-2"
"طَيِّب القَلْب","ar","2"
"طْلُب مَعْلومات شَخْصِيَّة على الإنْتَرْنِت بِغَرَض الاحْتِيال","ar","-2"
"طالعة مِنّه ريحة وِحْشة","ar","-2"
"ظَرْف طارئ","ar","-2"
"عَدَم احْتِرام","ar","-2"
"عَدَم ارْتِياح","ar","-2"
"عَدَم اسْتِقرار","ar","-1"
"عَدَم الاسْتِجابة","ar","-2"
"عَدَم الأمان","ar","-2"
"عَدَم الثِّقة","ar","-2"
"عَدَم الجاذِبِيّة","ar","-2"
"عَدَم الرِّضا","ar","-2"
"عَدَم الرّاحة","ar","-2"
"عَدَم المُلاءمة","ar","-2"
"عَدَم المِهَنِيّة","ar","-2"
"عَدَم النُّضوج","ar","-1"
"عَدَم انْتِظام","ar","-1"
"عَدَم اهْتِمام","ar","-2"
"عَدَم تَصْديق","ar","-2"
"عَدَم خِبْرة","ar","-2"
"عَدَم كَفاءة","ar","-2"
"عَدَم مُلائمة","ar","-2"
"عَديم الذَّوْق","ar","-2"
"عَديم الرَّحْمة","ar","-3"
"عَديم الرّائحة","ar","1"
"عَديم الصَّبْر","ar","-1"
"عَديم الضَّمير","ar","-2"
"عَديم القيمة","ar","-2"
"عَديم المَذاق","ar","-2"
"عَرَبِيّة سواقِتْها مُمْتِعة","ar","2"
"عَشان الديكور","ar","2"
"عَلامة مُمَيَّزة","ar","1"
"عَلى الموضة","ar","2"
"عَمَلِيّة احْتِيال","ar","-2"
"عَمَلِيّة نَصْب","ar","-2"
"عَمَل شاق","ar","-1"
"عَنْ اسْتِحْقاق","ar","2"
"عَنْدُه بَصيرة","ar","1"
"عَنْدُه بالحَساسِية","ar","-1"
"عَنْدُه ضَمير","ar","2"
"عَنْده أنيميا","ar","-2"
"عّدّم كِفاية","ar","-2"
"عالي الجَوْدة","ar","2"
"علامة مُمَيَّزة","ar","1"
"على الماشي","ar","-1"
"عيب في البَرْمَجة","ar","-1"
"غَرابة بِشَكْل مُضْحِك","ar","-1"
"غَريب بِشَكْل مُضْحِك","ar","-1"
"غَزير الإنْتاج","ar","2"
"غَضَب شَديد","ar","-2"
"غَضَب شِديد","ar","-2"
"غَضْبان جِدّاً","ar","-2"
"غَيْر واضِح","ar","-1"
"غَيْر آدَمي","ar","-2"
"غَيْر آمِن","ar","-2"
"غَيْر بارِز","ar","1"
"غَيْر بارِع","ar","-2"
"غَيْر تَقْييدي","ar","2"
"غَيْر ثابِت","ar","-2"
"غَيْر جَدير","ar","-2"
"غَيْر جَذَّاب","ar","-2"
"غَيْر جَذّاب","ar","-2"
"غَيْر حَكيم","ar","-2"
"غَيْر خَدوم","ar","-2"
"غَيْر ذو فائدة","ar","-1"
"غَيْر راضٍ","ar","-2"
"غَيْر صِحّي","ar","-2"
"غَيْر صالِح للْأكْل","ar","-2"
"غَيْر صالح للعَيٍش","ar","-2"
"غَيْر ضَروري","ar","-1"
"غَيْر ضار","ar","1"
"غَيْر طَبيعي","ar","-2"
"غَيْر عَقْلاني","ar","-2"
"غَيْر عادِل","ar","-2"
"غَيْر فَعَّال","ar","-2"
"غَيْر فاتِح للشَهِيّة","ar","-2"
"غَيْر قابِل للاسْتِخْدام","ar","-2"
"غَيْر قابِل للعَرْض","ar","-2"
"غَيْر قادِر","ar","-2"
"غَيْر كُفء","ar","-2"
"غَيْر كافٍ","ar","-2"
"غَيْر كافي","ar","-2"
"غَيْر كامِل النُّضْج","ar","-2"
"غَيْر كامِل","ar","-2"
"غَيْر لَبِق","ar","-2"
"غَيْر لائق","ar","-3"
"غَيْر مَحْبوب","ar","-1"
"غَيْر مَرْغوب فيه","ar","-2"
"غَيْر مَرْغوب","ar","-2"
"غَيْر مَرئي","ar","-1"
"غَيْر مَسْبوق","ar","2"
"غَيْر مَسئول","ar","-2"
"غَيْر مَفْهوم","ar","-1"
"غَيْر مَقْبول","ar","-2"
"غَيْر مَقْروء","ar","-2"
"غَيْر مُبَرَّر","ar","-2"
"غَيْر مُبْدِع","ar","-2"
"غَيْر مُبْهِر","ar","-2"
"غَيْر مُبالي","ar","-1"
"غَيْر مُتَّزِن","ar","-2"
"غَيْر مُتَطَوِّر","ar","-1"
"غَيْر مُتَظاهِر","ar","1"
"غَيْر مُتَعَلِّم","ar","-2"
"غَيْر مُتَعاطِف","ar","-1"
"غَيْر مُتَوَفِّر","ar","-1"
"غَيْر مُتَوَقَّع","ar","-2"
"غَيْر مُتْقَن","ar","-1"
"غَيْر مُجَهَّز","ar","-1"
"غَيْر مُرَتَّب","ar","-1"
"غَيْر مُرَحَّب بِه","ar","-2"
"غَيْر مُرَكِّز","ar","-1"
"غَيْر مُرْتاح","ar","-1"
"غَيْر مُرْضٍ","ar","-2"
"غَيْر مُريح","ar","-2"
"غَيْر مُزْدَحِم","ar","2"
"غَيْر مُسْتَجيب","ar","-2"
"غَيْر مُسْتَخْدَم","ar","-2"
"غَيْر مُسْتَعِدّ","ar","-1"
"غَيْر مُسْتَقِرّ","ar","-1"
"غَيْر مُسْتَوي","ar","-2"
"غَيْر مُعَقَّد","ar","2"
"غَيْر مُكَلِّف","ar","1"
"غَيْر مُكْتَمِل","ar","-2"
"غَيْر مُلْفِت","ar","-1"
"غَيْر مُلْهَم","ar","-2"
"غَيْر مُلْهِم","ar","-2"
"غَيْر مُلائم","ar","-2"
"غَيْر مُنَظَّم","ar","-1"
"غَيْر مُنْبِهِر","ar","-2"
"غَيْر مُنْتَظِم","ar","-1"
"غَيْر مُنْتِج","ar","-2"
"غَيْر مُنْحاز","ar","1"
"غَيْر مُناسِب","ar","-2"
"غَيْر مُهِمّ","ar","-2"
"غَيْر مُهِم","ar","-1"
"غَيْر مُهْتَمّ","ar","-2"
"غَيْر مِضْياف","ar","-2"
"غَيْر مِهَني","ar","-2"
"غَيْر مؤثِّر","ar","-2"
"غَيْر مؤلِم","ar","2"
"غَيْر مؤمَّن","ar","-2"
"غَيْر مؤهَّل","ar","-2"
"غَيْر نَظيف","ar","-2"
"غَيْر ناجِح","ar","-2"
"غَيْر نافِع","ar","-2"
"غَيْر وَدود","ar","-2"
"غَيْر وَقور","ar","-2"
"غَيْر واثِق","ar","-2"
"غَيْر واعِد","ar","-2"
"غَيْر واقِعي","ar","-1"
"غَيْر ودّي","ar","-2"
"غّيْر لائق","ar","-2"
"غالي الثَّمَن بِشَكْلِ يَصْعُب مَعَهُ شِراؤه","ar","-2"
"غالي الثَّمَن","ar","-2"
"غالي زِيادة وصَعْب يِتْجاب","ar","-2"
"غيْر مؤاتي","ar","-2"
"فَرْحان جِدّاً","ar","2"
"فَلَّاح مِش مُتَمَدِّن","ar","-2"
"فَوْضى فَظيعة","ar","-3"
"فَوْق المُتَوَسِّط","ar","1"
"فُروغ صَبْر","ar","1"
"في العادة","ar","1"
"في الوَقْت الصَّح","ar","1"
"في الوَقْت الصَّحيح","ar","1"
"في أحْسَن حالة","ar","-2"
"في حالَتِه الأصْلِيّة","ar","1"
"في حالْتُه الأصْلِيّة","ar","1"
"في حالة جَيِّدة","ar","2"
"في حالة سَيِّئة","ar","-2"
"في صالِح حَدّ مُعَيَّن","ar","2"
"في مِحْنة","ar","-2"
"في وَقْتٍ غَيْر مُناسِب","ar","-1"
"في وَقْتٍ مِش مُناسِب","ar","-1"
"فيه مُشْكِلة","ar","-2"
"قَبْل أوانُه","ar","-1"
"قَديم بِشَكْل جَذّاب","ar","1"
"قَديم جِدّاً","ar","-1"
"قَلْبُه طَيِّب","ar","2"
"قَليل الاحْتِرام","ar","-2"
"قَليل الخِبْرة","ar","-2"
"قَليل الصَّبْر","ar","-1"
"قَوي العَضَلات","ar","1"
"قِلّة أدَب","ar","-2"
"كَثير التَّفْكير","ar","1"
"كَلام تِقَني غَيْر مَفْهوم","ar","-1"
"كَلام تِقَني مِش مَفْهوم","ar","-1"
"كَلام فَخْم لا مَعنى له","ar","-1"
"كَلام فارِغ","ar","-2"
"كَلام فاضي","ar","-3"
"كَلام كِبير عَلى الفاضي","ar","-1"
"كِتير جِدّاً","ar","3"
"لَمْ يَتِمّ الرَّدّ عَلَيْه","ar","-2"
"لَم يَتَحَقَّق","ar","-2"
"لَم يَتِمّ إصْلاحه","ar","-2"
"لَم يَتِمّ تَصْحيحه","ar","-2"
"لَم يَتِمّ حَلَّها","ar","-2"
"لَم يُحَقِّق طُموحه","ar","-2"
"لَيْس لَدَيْه العَدَد الكافي من العُمّال","ar","-2"
"لَيْس لَدَيْه مَخْزون كافٍ","ar","-2"
"لُه مَعْنى","ar","2"
"لُه هيبة","ar","2"
"لِحُسْن الحَظّ","ar","2"
"لا أخْلاقي","ar","-2"
"لا روح فيه","ar","-2"
"لا سِيَّما","ar","2"
"لا شَيْئ","ar","-2"
"لا عِلاقة لَه بالْمَوْضوع","ar","-1"
"لا غِنى عَنْه","ar","2"
"لا مَعْنى لَه","ar","-1"
"لا مُبَرِّر لَه","ar","-2"
"لا مُبالاة","ar","-2"
